NAME                    VERSION      TYPE        
7zip                    24.09-r0     apk          
alpine-baselayout       3.7.0-r0     apk          
alpine-baselayout-data  3.7.0-r0     apk          
alpine-keys             2.5-r0       apk          
alpine-release          3.22.0-r0    apk          
apk-tools               2.14.9-r2    apk          
archiver                (devel)      go-module    
busybox                 1.37.0-r18   apk          
busybox-binsh           1.37.0-r18   apk          
ca-certificates         20241121-r2  apk          
ca-certificates-bundle  20241121-r2  apk          
libapk2                 2.14.9-r2    apk          
libcrypto3              3.5.0-r0     apk          
libgcc                  14.2.0-r6    apk          
libssl3                 3.5.0-r0     apk          
libstdc++               14.2.0-r6    apk          
musl                    1.2.5-r10    apk          
musl-utils              1.2.5-r10    apk          
scanelf                 1.3.8-r1     apk          
ssl_client              1.37.0-r18   apk          
stdlib                  go1.23.10    go-module    
zlib                    1.3.1-r2     apk
